NEED_2_TEST,ID,SENSOR_TYPE,D_STATE,D_TRIGGER,D_SLEEP_TIME_1,R_GW_SIREN_1,R_SYSTEM_STATE_1,R_EVENT,D_SLEEP_TIME_2,IS_KEYFOB,D_STATE_2,R_GW_SIREN_2,R_SYSTEM_STATE_2,R_EVENT_2,R_CLIP_FILE
N,92,SMK,EXIT_DELAY,OFFLINE,10,NO_SOUND,EXIT_DELAY,NO_CHK,10,Y,AWAY_ARM,NO_SOUND,EXIT_DELAY,20006,N
N,93,SMK,EXIT_DELAY,OFFLINE,10,NO_SOUND,EXIT_DELAY,NO_CHK,10,Y,STAY_ARM,NO_SOUND,EXIT_DELAY,20008,N
N,94,SMK,EXIT_DELAY,OFFLINE,10,NO_SOUND,EXIT_DELAY,NO_CHK,10,Y,DISARM,NO_SOUND,DISARM,20002,N
N,95,SMK,EXIT_DELAY,OFFLINE,10,NO_SOUND,EXIT_DELAY,NO_CHK,10,NOTHING,NOTHING,NO_SOUND,EXIT_DELAY,NO_CHK,N
N,96,SMK,EXIT_DELAY,OFFLINE,40,NO_SOUND,EXIT_DELAY,NO_CHK,40,N,AWAY_ARM,NO_SOUND,EXIT_DELAY,20006,N
N,97,SMK,EXIT_DELAY,OFFLINE,40,NO_SOUND,EXIT_DELAY,NO_CHK,40,N,STAY_ARM,NO_SOUND,EXIT_DELAY,20008,N
N,98,SMK,EXIT_DELAY,OFFLINE,40,NO_SOUND,EXIT_DELAY,NO_CHK,40,N,DISARM,NO_SOUND,DISARM,20002,N
N,99,SMK,EXIT_DELAY,OFFLINE,40,NO_SOUND,EXIT_DELAY,NO_CHK,40,N,DISARM_PIN_FAIL,NO_SOUND,EXIT_DELAY,NO_CHK,N
N,100,SMK,EXIT_DELAY,OFFLINE,40,NO_SOUND,EXIT_DELAY,NO_CHK,40,Y,AWAY_ARM,NO_SOUND,EXIT_DELAY,20006,N
N,101,SMK,EXIT_DELAY,OFFLINE,40,NO_SOUND,EXIT_DELAY,NO_CHK,40,Y,STAY_ARM,NO_SOUND,EXIT_DELAY,20008,N
N,102,SMK,EXIT_DELAY,OFFLINE,40,NO_SOUND,EXIT_DELAY,NO_CHK,40,Y,DISARM,NO_SOUND,DISARM,20002,N
N,103,SMK,EXIT_DELAY,OFFLINE,40,NO_SOUND,EXIT_DELAY,NO_CHK,40,NOTHING,NOTHING,NO_SOUND,EXIT_DELAY,NO_CHK,N
N,104,SMK,EXIT_DELAY,OFFLINE,60,NO_SOUND,EXIT_DELAY,NO_CHK,120,N,AWAY_ARM,NO_SOUND,EXIT_DELAY,20006,N
N,105,SMK,EXIT_DELAY,OFFLINE,60,NO_SOUND,EXIT_DELAY,NO_CHK,120,N,STAY_ARM,NO_SOUND,EXIT_DELAY,20008,N
N,106,SMK,EXIT_DELAY,OFFLINE,60,NO_SOUND,EXIT_DELAY,NO_CHK,120,N,DISARM,NO_SOUND,DISARM,20002,N
